step,id,x,y,gx,gy,priority,battery,blocked,charging
7,11,1,1,15,13,2,93,0,0
7,12,1,17,0,19,2,93,1,0
7,13,2,1,14,4,2,93,0,0
7,14,17,5,0,1,0,93,0,0
7,15,18,18,10,4,0,93,1,0
7,16,18,0,6,13,2,93,1,0
7,17,16,0,16,0,1,93,0,0
7,18,7,4,13,2,2,93,0,0
7,19,18,1,1,13,1,93,2,0
7,20,11,11,0,17,0,93,0,0
7,21,5,1,3,19,2,93,3,0
7,22,2,18,6,9,1,93,0,0
7,23,0,18,1,17,2,93,0,0
7,24,1,18,17,7,0,93,1,0
7,25,15,1,10,18,2,93,0,0
7,26,5,18,6,17,2,93,0,0
7,27,9,2,16,2,0,93,0,0
7,28,-1,-1,-1,-1,2,98,0,0
7,29,6,6,4,17,0,93,0,0
8,0,10,1,15,1,0,92,1,0
8,1,5,3,13,2,2,92,0,0
8,2,3,1,2,13,1,92,1,0
8,3,16,2,10,1,2,92,0,0
8,4,15,15,13,9,0,92,0,0
8,5,18,2,3,11,2,92,2,0
8,6,1,4,18,0,0,92,0,0
8,7,8,17,6,16,0,92,0,0
8,8,11,13,19,17,1,92,0,0
8,9,8,2,11,9,1,92,1,0
8,10,13,8,14,7,0,92,0,0
8,11,1,2,15,13,2,92,0,0
8,12,1,17,0,19,2,92,2,0
8,13,1,1,14,4,2,92,0,0
8,14,17,4,0,1,0,92,0,0
8,15,18,19,10,4,0,92,1,0
8,16,18,0,6,13,2,92,2,0
8,17,-1,-1,-1,-1,1,93,0,0
8,18,7,3,13,2,2,92,0,0
8,19,17,1,1,13,1,92,2,0
8,20,11,12,0,17,0,92,0,0
8,21,4,1,3,19,2,92,3,0
8,22,2,18,6,9,1,92,1,0
8,23,0,18,1,17,2,92,1,0
8,24,1,19,17,7,0,92,1,0
8,25,16,1,10,18,2,92,0,0
8,26,4,18,6,17,2,92,0,0
8,27,10,2,16,2,0,92,0,0
8,28,-1,-1,-1,-1,2,98,0,0
8,29,6,7,4,17,0,92,0,0
9,0,11,1,15,1,0,91,1,0
9,1,5,2,13,2,2,91,0,0
9,2,2,1,2,13,1,91,1,0
9,3,17,2,10,1,2,91,0,0
9,4,15,14,13,9,0,91,0,0
9,5,18,1,3,11,2,91,2,0
9,6,1,3,18,0,0,91,0,0
9,7,7,17,6,16,0,91,0,0
9,8,11,14,19,17,1,91,0,0
9,9,9,2,11,9,1,91,1,0
9,10,13,7,14,7,0,91,0,0
9,11,1,2,15,13,2,91,1,0
9,12,1,18,0,19,2,91,2,0
9,13,1,0,14,4,2,91,0,0
9,14,17,3,0,1,0,91,0,0
9,15,18,18,10,4,0,91,1,0
9,16,18,0,6,13,2,91,3,0
9,17,-1,-1,-1,-1,1,93,0,0
9,18,7,2,13,2,2,91,0,0
9,19,17,1,1,13,1,91,3,0
9,20,11,13,0,17,0,91,0,0
9,21,3,1,3,19,2,91,3,0
9,22,2,18,6,9,1,91,2,0
9,23,0,18,1,17,2,91,2,0
9,24,1,19,17,7,0,91,2,0
9,25,16,1,10,18,2,91,1,0
9,26,3,18,6,17,2,91,0,0
9,27,11,2,16,2,0,91,0,0
9,28,-1,-1,-1,-1,2,98,0,0
9,29,6,8,4,17,0,91,0,0
10,0,12,1,15,1,0,90,1,0
10,1,5,1,13,2,2,90,0,0
10,2,1,1,2,13,1,90,1,0
10,3,18,2,10,1,2,90,0,0
10,4,15,13,13,9,0,90,0,0
10,5,19,1,3,11,2,90,2,0
10,6,1,3,18,0,0,90,1,0
10,7,7,16,6,16,0,90,0,0
10,8,11,15,19,17,1,90,0,0
10,9,9,3,11,9,1,90,1,0
10,10,14,7,14,7,0,90,0,0
10,11,1,2,15,13,2,90,2,0
10,12,1,17,0,19,2,90,2,0
10,13,1,0,14,4,2,90,1,0
10,14,17,2,0,1,0,90,0,0
10,15,18,19,10,4,0,90,1,0
10,16,18,1,6,13,2,90,3,0
10,17,-1,-1,-1,-1,1,93,0,0
10,18,7,1,13,2,2,90,0,0
10,19,17,1,1,13,1,90,4,0
10,20,11,14,0,17,0,90,0,0
10,21,2,1,3,19,2,90,3,0
10,22,1,18,6,9,1,90,2,0
10,23,0,18,1,17,2,90,3,0
10,24,1,19,17,7,0,90,3,0
10,25,16,1,10,18,2,90,2,0
10,26,2,18,6,17,2,90,0,0
10,27,12,2,16,2,0,90,0,0
10,28,-1,-1,-1,-1,2,98,0,0
10,29,6,9,4,17,0,90,0,0
11,0,13,1,15,1,0,89,1,0
11,1,4,1,13,2,2,89,0,0
11,2,0,1,2,13,1,89,1,0
11,3,18,2,10,1,2,89,1,0
11,4,15,12,13,9,0,89,0,0
11,5,19,1,3,11,2,89,3,0
11,6,1,3,18,0,0,89,2,0
11,7,6,16,6,16,0,89,0,0
11,8,11,16,19,17,1,89,0,0
11,9,9,4,11,9,1,89,1,0
11,10,-1,-1,-1,-1,0,90,0,0
11,11,1,1,15,13,2,89,2,0
11,12,1,17,0,19,2,89,3,0
11,13,1,0,14,4,2,89,2,0
11,14,16,2,0,1,0,89,0,0
11,15,18,18,10,4,0,89,1,0
11,16,18,0,6,13,2,89,3,0
11,17,-1,-1,-1,-1,1,93,0,0
11,18,6,1,13,2,2,89,0,0
11,19,18,1,1,13,1,89,4,0
11,20,11,15,0,17,0,89,0,0
11,21,2,1,3,19,2,89,4,0
11,22,1,18,6,9,1,89,3,0
11,23,0,18,1,17,2,89,4,0
11,24,1,19,17,7,0,89,4,0
11,25,17,1,10,18,2,89,2,0
11,26,2,18,6,17,2,89,1,0
11,27,13,2,16,2,0,89,0,0
11,28,-1,-1,-1,-1,2,98,0,0
11,29,6,10,4,17,0,89,0,0
